fpl_player_code,pts,minutes,avg_price,season,season_str,first_name,web_name,position,fpl_team_code,team_now,team_short_now,minutesU,xG,npxG,xA,xCS,npxCS,xDef,npxDef,xGA,npxGA,xPTS,npxPTS,xPTS_90,npxPTS_90,group,group2,color,label
6744,106,2520,4.2,2016,2016/17,Lee,Grant,1,,,,2520,0.0,0.0,0.0,10,10,-8.0,-8.0,31.863659999999996,31.863659999999996,32.0,32.0,1.1428571428571428,1.1428571428571428,<5.5,4.5,#1f77b4,False
6744,5,270,4.4,2017,2017/18,Lee,Grant,1,,,,270,0.0,0.0,0.0,1,1,-1.0,-1.0,4.561018,4.561018,3.0,3.0,1.0,1.0,<5.5,4.5,#1f77b4,False
7645,142,3285,5.6,2014,2014/15,Phil,Jagielka,2,,,,3295,2.3946306,2.3946306,0.07067899999999999,7,8,-5.0,-4.0,44.468622999999994,41.42394999999999,37.579820600000005,37.579820600000005,1.026459439757208,1.026459439757208,5.5-7.5,5.5,#6D597A,False
7645,65,1850,5.3,2015,2015/16,Phil,Jagielka,2,,,,1854,0.8121412,0.8121412,0.13591419999999999,7,7,-4.0,-4.0,26.838716,26.838716,29.2805898,29.2805898,1.4213878543689322,1.4213878543689322,<5.5,5.5,#1f77b4,False
7645,104,2251,5.0,2016,2016/17,Phil,Jagielka,2,,,,2252,1.2690292,1.2690292,0.7028576,8,10,-9.0,-7.0,33.167607000000004,29.361796,32.722747999999996,32.722747999999996,1.307747477797513,1.307747477797513,<5.5,5.5,#1f77b4,False
7645,60,2063,4.8,2017,2017/18,Phil,Jagielka,2,,,,2066,0.8036303,0.8036303,0.0,5,5,-11.0,-10.0,38.935835000000004,36.652325,13.8217818,13.8217818,0.6021105333978704,0.6021105333978704,<5.5,4.5,#1f77b4,False
7645,22,329,4.4,2018,2018/19,Phil,Jagielka,2,,,,323,0.626363,0.626363,0.0990936,2,2,-1.0,-1.0,4.917566,4.917566,11.0554588,11.0554588,3.0804683962848296,3.0804683962848296,<5.5,4.5,#1f77b4,False
9089,98,2485,4.5,2014,2014/15,Ben,Foster,1,,,,2488,0.0,0.0,0.0,10,12,-7.0,-4.0,33.951724,29.384754,33.0,33.0,1.1937299035369775,1.1937299035369775,<5.5,4.5,#1f77b4,False
9089,56,1350,5.0,2015,2015/16,Ben,Foster,1,,,,1350,0.0,0.0,0.0,4,4,-4.0,-3.0,19.324640999999996,18.563470999999996,12.0,12.0,0.8,0.8,<5.5,5.5,#1f77b4,False
9089,113,3420,4.6,2016,2016/17,Ben,Foster,1,,,,3420,0.0321922,0.0321922,0.0918271,9,11,-10.0,-9.0,47.900151,45.616635,26.4686345,26.4686345,0.6965430131578948,0.6965430131578948,<5.5,4.5,#1f77b4,False
