player_id,web_name,season,position,minutes,team,value,value_group,value_category,pts,pts_adj,xpts,xpts_90,color_code,group_color
1632,Barry,17,3,1921,West Brom,4.5,4.5,<5.5,56,15.0,16.978,0.795624,#1f77b4,blue
3773,Crouch,17,4,1551,Stoke,4.84194,4.5,<5.5,73,32.0,26.0849,1.51363,#1f77b4,blue
7645,Jagielka,17,2,2063,Everton,4.792,4.5,<5.5,60,14.0,14.4311,0.776505,#1f77b4,blue
7958,Defoe,17,4,1075,Bournemouth,7.6875,7.5,7.5-10,60,27.0,22.1391,1.85351,#E56B6F,red
8380,Collins,17,2,1049,West Ham,4.33846,4.5,<5.5,36,15.0,10.8555,0.836579,#1f77b4,blue
11352,Bruno,17,2,2014,Brighton,4.5,4.5,<5.5,84,40.0,16.3014,0.637187,#1f77b4,blue
11352,Bruno,18,2,1131,Brighton,4.40714,4.5,<5.5,46,21.0,5.87385,0.409148,#1f77b4,blue
12745,Baines,17,2,1909,Everton,5.78182,5.5,5.5-7.5,82,40.0,33.6043,1.27146,#6D597A,purple
13017,Rooney,17,4,2265,Everton,7.34839,7.5,5.5-7.5,113,69.0,37.6555,1.34327,#6D597A,purple
13152,King,17,3,1247,Swansea,4.29545,4.5,<5.5,51,20.0,11.2695,0.919936,#1f77b4,blue
14295,Fletcher,17,3,2217,Stoke,4.91481,5.5,<5.5,67,15.0,11.6591,0.442433,#1f77b4,blue
15033,Morgan,17,2,2817,Leicester,4.46875,4.5,<5.5,61,2.0,27.3087,1.01676,#1f77b4,blue
15033,Morgan,18,2,1924,Leicester,4.50455,4.5,<5.5,76,39.0,28.9947,1.33533,#1f77b4,blue
15149,Francis,17,2,2708,Bournemouth,4.35313,4.5,<5.5,56,6.0,10.8734,0.443221,#1f77b4,blue
15149,Francis,18,2,1227,Bournemouth,4.41765,4.5,<5.5,40,12.0,6.78019,0.451347,#1f77b4,blue
15149,Francis,19,2,964,Bournemouth,4.4,4.5,<5.5,16,-2.0,-1.11581,0.297489,#1f77b4,blue
15157,Milner,17,2,1759,Liverpool,6.1375,6.5,5.5-7.5,77,30.0,50.5015,2.86851,#6D597A,purple
15157,Milner,18,3,1778,Liverpool,5.60645,5.5,5.5-7.5,101,61.0,42.53,2.03265,#6D597A,purple
15157,Milner,19,3,924,Liverpool,5.34091,5.5,<5.5,49,23.0,17.2934,1.1865,#1f77b4,blue
15157,Milner,20,3,1056,Liverpool,5.31538,5.5,<5.5,44,12.0,9.63819,0.864213,#1f77b4,blue
15237,Surman,17,3,1851,Bournemouth,4.552,4.5,<5.5,82,39.0,15.0747,0.722523,#1f77b4,blue
15237,Surman,18,3,1438,Bournemouth,4.7,4.5,<5.5,36,4.0,6.01547,0.41246,#1f77b4,blue
17339,Davis,17,3,1515,Southampton,4.99565,5.5,<5.5,71,31.0,15.2232,0.887037,#1f77b4,blue
17349,Lennon,17,3,1906,Burnley,5.40345,5.5,5.5-7.5,65,18.0,14.6526,0.674802,#6D597A,purple
17349,Lennon,18,3,1214,Burnley,5.0,5.5,<5.5,41,13.0,6.8763,0.598916,#1f77b4,blue
17476,Kompany,17,2,1394,Man City,5.84118,5.5,5.5-7.5,60,34.0,38.7211,2.6241,#6D597A,purple
17476,Kompany,18,2,1220,Man City,5.24706,5.5,<5.5,58,34.0,27.0897,1.95329,#1f77b4,blue
17761,Tarkowski,17,2,2790,Burnley,4.55484,4.5,<5.5,101,44.0,30.1805,0.915027,#1f77b4,blue
17761,Tarkowski,18,2,3086,Burnley,4.78857,4.5,<5.5,97,36.0,23.7472,0.661775,#1f77b4,blue
17761,Tarkowski,19,2,3420,Burnley,5.10526,5.5,<5.5,143,77.0,44.3656,1.16752,#1f77b4,blue
17761,Tarkowski,20,2,3240,Burnley,5.31944,5.5,<5.5,109,43.0,25.505,0.757098,#1f77b4,blue
17878,Fàbregas,17,3,2300,Chelsea,6.85625,6.5,5.5-7.5,89,40.0,53.6776,2.10922,#6D597A,purple
17997,Bardsley,17,2,1125,Burnley,4.3,4.5,<5.5,33,13.0,5.9663,0.702845,#1f77b4,blue
17997,Bardsley,18,2,1670,Burnley,4.22105,4.5,<5.5,33,7.0,9.42204,0.262713,#1f77b4,blue
17997,Bardsley,19,2,1890,Burnley,4.30476,4.5,<5.5,78,42.0,17.3762,0.718869,#1f77b4,blue
18073,Noble,17,3,2400,West Ham,5.34483,5.5,<5.5,84,34.0,25.5783,0.866334,#1f77b4,blue
18073,Noble,18,3,2289,West Ham,4.85161,4.5,<5.5,99,52.0,30.5552,0.991112,#1f77b4,blue
18073,Noble,19,3,2675,West Ham,4.98788,5.5,<5.5,105,47.0,34.7585,1.05299,#1f77b4,blue
18665,Tettey,19,3,2339,Norwich,4.49,4.5,<5.5,67,16.0,11.3151,0.412312,#1f77b4,blue
18867,Sharp,19,4,1037,Sheffield Utd,5.608,5.5,5.5-7.5,57,27.0,23.5504,2.04391,#6D597A,purple
18892,Young,17,3,2444,Man Utd,4.93333,5.5,<5.5,98,48.0,29.0358,1.10179,#1f77b4,blue
18892,Young,18,2,2568,Man Utd,5.72,5.5,5.5-7.5,73,27.0,26.7714,0.969825,#6D597A,purple
18892,Young,19,2,953,Man Utd,5.4,5.5,<5.5,24,7.0,20.268,1.78137,#1f77b4,blue
18987,Snodgrass,18,3,2215,West Ham,5.25758,5.5,<5.5,85,39.0,35.6467,1.4607,#1f77b4,blue
18987,Snodgrass,19,3,1504,West Ham,5.24583,5.5,<5.5,87,51.0,25.1412,1.54408,#1f77b4,blue
19151,Brunt,17,3,1917,West Brom,5.12692,5.5,<5.5,81,39.0,30.2523,1.39199,#1f77b4,blue
19159,Williams,17,2,1830,Everton,5.28333,5.5,<5.5,56,19.0,16.9799,0.872063,#1f77b4,blue
19188,Dann,17,2,1434,Crystal Palace,4.78235,4.5,<5.5,32,3.0,26.4079,1.6279,#1f77b4,blue
19188,Dann,19,2,1264,Crystal Palace,4.33125,4.5,<5.5,51,22.0,14.843,0.843543,#1f77b4,blue
19188,Dann,20,2,1350,Crystal Palace,4.34667,4.5,<5.5,39,10.0,5.90853,0.398981,#1f77b4,blue
19419,Cahill,17,2,2082,Chelsea,6.22963,6.5,5.5-7.5,74,29.0,34.0607,1.65666,#6D597A,purple
19419,Cahill,19,2,2167,Crystal Palace,4.448,4.5,<5.5,70,22.0,20.4129,0.837485,#1f77b4,blue
19419,Cahill,20,2,1800,Crystal Palace,4.5,4.5,<5.5,53,16.0,7.08321,0.564939,#1f77b4,blue
19520,Babel,18,3,1250,Fulham,5.50625,5.5,5.5-7.5,75,48.0,40.2615,2.94034,#6D597A,purple
19523,Bamba,18,2,2475,Cardiff,4.53214,4.5,<5.5,95,47.0,27.8547,0.939286,#1f77b4,blue
19624,Moutinho,18,3,3030,Wolves,5.32105,5.5,<5.5,119,51.0,37.7355,1.14176,#1f77b4,blue
19624,Moutinho,19,3,3105,Wolves,5.39211,5.5,<5.5,113,49.0,42.4715,1.24661,#1f77b4,blue
19624,Moutinho,20,3,2526,Wolves,5.23636,5.5,<5.5,73,18.0,19.5132,0.703166,#1f77b4,blue
20037,Pugh,17,3,974,Bournemouth,4.785,4.5,<5.5,32,5.0,12.4656,1.07142,#1f77b4,blue
20145,Mariappa,17,2,2206,Watford,4.09643,4.5,<5.5,58,10.0,15.7544,0.631533,#1f77b4,blue
20145,Mariappa,18,2,1924,Watford,4.21154,4.5,<5.5,57,13.0,16.3597,0.670995,#1f77b4,blue
20145,Mariappa,19,2,1509,Watford,4.205,4.5,<5.5,26,0.0,-4.87193,0.509909,#1f77b4,blue
20452,Long,17,4,1570,Southampton,5.68333,5.5,5.5-7.5,53,14.0,22.2009,1.27266,#6D597A,purple
20452,Long,18,4,1260,Southampton,4.74231,4.5,<5.5,66,31.0,25.3965,1.81404,#1f77b4,blue
20452,Long,19,4,1386,Southampton,4.63846,4.5,<5.5,62,21.0,25.5442,1.65872,#1f77b4,blue
20467,Walcott,17,3,1214,Everton,7.09,7.5,5.5-7.5,62,31.0,29.1693,2.17907,#6D597A,purple
20467,Walcott,18,3,2108,Everton,6.21351,6.5,5.5-7.5,101,44.0,45.3188,2.01619,#6D597A,purple
20467,Walcott,19,3,1281,Everton,6.232,6.5,5.5-7.5,63,27.0,30.0101,2.09862,#6D597A,purple
20467,Walcott,20,3,1629,Southampton,5.80455,5.5,5.5-7.5,76,34.0,21.5426,1.18945,#6D597A,purple
20529,Murray,17,4,2184,Brighton,5.81143,5.5,5.5-7.5,111,64.0,49.5205,1.84665,#6D597A,purple
20529,Murray,18,4,2501,Brighton,6.43158,6.5,5.5-7.5,129,71.0,47.2403,1.60198,#6D597A,purple
20658,Zabaleta,17,2,3289,West Ham,4.90811,5.5,<5.5,90,27.0,23.824,0.594313,#1f77b4,blue
20658,Zabaleta,18,2,2089,West Ham,4.30769,4.5,<5.5,56,11.0,10.2779,0.242593,#1f77b4,blue
20664,David Silva,17,3,2431,Man City,8.20345,8.5,7.5-10,169,118.0,92.5276,3.41735,#E56B6F,red
